1,A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,USA,31.90B,28.59,109.02,4.36%,"2,511,311"
2,AAON,AAON Inc.,Industrials,Building Products & Equipment,USA,4.72B,32.08,57.87,1.85%,"264,880"
3,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3.18B,12.80,28.40,-1.70%,"392,527"
4,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,42.51B,15.53,2.70,3.45%,"23,938,360"
5,ABM,ABM Industries Inc.,Industrials,Specialty Business Services,USA,2.68B,11.48,40.86,1.90%,"404,340"
6,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,77.31B,14.86,122.64,6.18%,"9,013,527"
7,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,166.38B,32.57,95.84,-0.13%,"5,652,491"
8,ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,3.30B,11.51,67.66,3.87%,"448,603"
9,ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,213.07M,0.74,0.49,5.22%,"6,567,977"
10,ACBA,Ace Global Business Acquisition Ltd,Financial,Shell Companies,Hong Kong,44.04M,55.95,11.62,-0.26%,"1,133"
11,ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1.54B,6.62,9.63,0.52%,"402,904"
12,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,31.91B,10.95,85.55,-0.45%,"2,658,692"
13,ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,4.30B,18.77,131.11,2.41%,"819,084"
14,ACN,Accenture plc,Technology,Information Technology Services,Ireland,196.75B,29.10,313.49,1.74%,"2,145,606"
15,ACNB,ACNB Corp.,Financial,Banks - Regional,USA,309.44M,8.15,36.15,3.43%,"15,060"
16,ACT,Enact Holdings Inc,Financial,Insurance - Specialty,USA,4.52B,7.03,28.23,1.22%,"328,990"
17,ADBE,Adobe Inc,Technology,Software - Infrastructure,USA,256.63B,50.72,563.66,0.89%,"1,932,465"
18,ADI,Analog Devices Inc.,Technology,Semiconductors,USA,83.68B,22.82,167.92,2.18%,"3,536,597"
19,ADM,Archer Daniels Midland Co.,Consumer Defensive,Farm Products,USA,38.89B,10.15,72.91,0.68%,"2,330,745"
20,ADTH,AdTheorent Holding Company Inc,Communication Services,Advertising Agencies,USA,105.84M,6.97,1.20,1.69%,"75,300"
21,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,705.60M,38.70,24.50,-0.93%,"1,137,766"
22,AEIS,Advanced Energy Industries Inc.,Industrials,Electrical Equipment & Parts,USA,3.42B,25.76,91.75,3.94%,"344,432"
23,AEL,American Equity Investment Life Holding Co,Financial,Insurance - Life,USA,4.22B,9.89,53.64,0.07%,"931,252"
24,AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada,24.45B,9.29,49.46,3.93%,"3,474,611"
25,AEO,American Eagle Outfitters Inc.,Consumer Cyclical,Apparel Retail,USA,3.66B,17.90,18.53,1.20%,"2,964,299"
26,AFCG,AFC Gamma Inc,Real Estate,REIT - Specialty,USA,227.92M,6.21,11.14,0.81%,"93,239"
27,AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,USA,9.32B,10.82,109.86,0.97%,"337,064"
28,AFL,Aflac Inc.,Financial,Insurance - Life,USA,48.85B,10.84,82.23,0.61%,"2,707,045"
29,AFYA,Afya Ltd,Consumer Defensive,Education & Training Services,Brazil,1.53B,23.74,17.10,-0.35%,"198,488"
30,AGCO,AGCO Corp.,Industrials,Farm & Heavy Construction Machinery,USA,8.97B,7.78,119.81,1.49%,"567,617"
