No        Sector                     Industry                                     Ticker         Growth %       Price/Intrinsic     Price          Intrinsic      
==================================================================================================================================================================
1         Basic Materials            Lumber & Wood Production                     UFPI           41.47%         57.20%              $103.59        $181.11        
2         Basic Materials            Building Materials                           TGLS           24.73%         76.52%              $34.26         $44.77         
3         Basic Materials            Building Materials                           VMC            41.53%         292.78%             $207.78        $70.97         
4         Basic Materials            Lumber & Wood Production                     SSD            31.88%         112.50%             $143.45        $127.51        
5         Basic Materials            Building Materials                           JHX            12.09%         258.73%             $26.88         $10.39         
6         Communication Services     Electronic Gaming & Multimedia               GRVY           44.24%         43.60%              $65.00         $149.08
7         Communication Services     Entertainment                                NFLX           50.92%         261.18%             $432.36        $165.54        
8         Communication Services     Internet Content & Information               GOOG           26.62%         194.08%             $130.37        $67.17         
9         Communication Services     Internet Content & Information               GOOGL          26.62%         192.19%             $129.10        $67.17         
10        Consumer Cyclical          Residential Construction                     MTH            48.53%         30.10%              $133.42        $443.19
11        Consumer Cyclical          Residential Construction                     CCS            47.11%         26.43%              $69.84         $264.21        
12        Consumer Cyclical          Residential Construction                     DHI            43.15%         43.56%              $118.86        $272.89        
13        Consumer Cyclical          Personal Services                            MED            40.76%         33.28%              $69.92         $210.12        
14        Consumer Cyclical          Apparel Retail                               BOOT           39.57%         80.29%              $75.27         $93.75         
15        Consumer Cyclical          Specialty Retail                             WSM            36.88%         56.78%              $154.31        $271.75        
16        Consumer Cyclical          Residential Construction                     TPH            34.55%         30.87%              $28.33         $91.78         
17        Consumer Cyclical          Auto Parts                                   FOXF           33.41%         75.99%              $60.53         $79.66         
18        Consumer Cyclical          Residential Construction                     CVCO           31.87%         60.69%              $270.56        $445.81        
19        Consumer Cyclical          Residential Construction                     LEN            31.26%         46.45%              $119.82        $257.98        
20        Consumer Cyclical          Residential Construction                     NVR            29.54%         69.51%              $5890.63       $8475.11       
21        Consumer Cyclical          Residential Construction                     LEGH           27.04%         47.28%              $19.51         $41.26         
22        Consumer Cyclical          Residential Construction                     MHO            23.56%         40.77%              $94.80         $232.50        
23        Consumer Cyclical          Auto Parts                                   LKQ            19.26%         94.60%              $44.94         $47.50         
24        Consumer Cyclical          Furnishings, Fixtures & Appliances           LZB            14.40%         90.67%              $30.84         $34.01         
25        Consumer Cyclical          Residential Construction                     GRBK           12.29%         81.32%              $44.89         $55.20         
26        Consumer Cyclical          Residential Construction                     PHM            10.27%         88.46%              $83.37         $94.24         
27        Consumer Cyclical          Residential Construction                     MDC            10.26%         64.19%              $42.99         $66.97         
28        Consumer Cyclical          Apparel Retail                               BKE            8.68%          86.20%              $36.03         $41.80         
29        Consumer Cyclical          Auto Parts                                   XPEL           65.72%         204.03%             $50.16         $24.59         
